GP,GS,MIN,ASST,SHOTS,SOG,G
35,34,3034,5,71,43,23
38,32,2812,2,66,38,22
36,35,3138,3,70,42,22
33,30,2660,1,68,38,20
34,33,2884,10,95,59,19
35,31,2753,7,66,36,18
29,29,2589,2,62,37,18
38,37,3244,6,89,44,17
31,31,2653,7,77,44,17
32,31,2638,6,59,40,17
24,18,1456,3,54,28,16
34,25,2221,3,74,40,15
34,21,2027,7,81,48,14
32,29,2444,1,57,31,14
35,32,2798,20,70,31,13
36,30,2629,1,70,38,13
36,36,3081,3,66,32,13
36,33,2892,3,56,35,11
33,21,1940,9,51,32,11
30,28,2485,10,62,38,11
24,19,1770,3,54,31,10
37,30,2768,3,65,38,10
30,22,1877,4,44,26,10
31,12,1312,1,32,20,10
27,26,2234,2,32,23,10
38,34,3001,8,70,39,9
37,37,3160,2,44,24,9
25,19,1726,4,48,26,9
36,29,2601,7,48,29,9
35,32,2909,1,45,21,8
36,36,3234,6,55,23,8
33,26,2019,4,36,22,8
18,12,999,0,35,19,8
36,20,2009,1,55,30,8
25,21,1851,4,35,19,8
14,14,1192,7,37,18,8
32,24,2263,1,46,27,7
31,20,1651,0,31,20,7
34,27,2297,1,46,26,7
37,32,2872,5,50,29,7
37,30,2500,2,29,16,6
27,22,1832,10,32,18,6
34,23,2029,7,29,15,6
19,17,1361,0,32,12,6
36,24,2116,0,43,25,6
26,24,2019,4,22,13,6
34,20,1950,1,28,17,6
36,24,2090,8,46,28,6
31,29,2628,3,44,18,6
26,25,2123,2,30,14,6
30,11,1232,4,23,9,6
38,38,3420,1,27,16,5
23,9,892,2,26,15,5
24,17,1511,5,16,10,5
30,28,2517,2,19,11,5
31,22,2013,3,33,12,5
34,26,2455,3,33,10,5
38,38,3420,3,43,26,5
21,21,1790,1,28,18,5
31,22,2015,6,37,18,5
20,12,961,3,29,20,5
30,19,1713,3,35,20,5
23,10,988,1,22,13,5
28,22,2028,4,30,13,5
28,7,706,1,10,6,4
38,35,3176,13,27,13,4
30,26,2244,5,12,8,4
30,17,1492,1,22,10,4
37,35,2948,0,31,15,4
30,12,1105,2,22,10,4
32,32,2768,4,45,21,4
38,37,3280,3,39,17,4
35,25,2247,4,35,14,4
34,26,2061,4,41,20,4
36,35,3033,2,37,17,4
38,32,2794,0,15,5,4
36,32,2840,3,26,16,4
37,27,2606,9,28,12,4
31,27,2384,2,8,4,4
18,15,1432,2,19,8,4
27,20,1770,1,17,10,4
28,25,2105,5,43,21,4
37,36,3167,2,41,12,4
33,32,2684,3,14,6,4
20,10,849,2,18,10,4
35,29,2486,2,20,9,3
31,31,2730,0,14,5,3
32,31,2766,1,14,7,3
27,15,1278,2,7,5,3
31,28,2514,1,21,9,3
36,36,3231,3,26,10,3
25,10,1047,2,13,7,3
31,31,2670,1,13,7,3
32,17,1644,1,18,8,3
21,8,661,2,7,5,3
29,29,2511,2,18,6,3
28,27,2316,3,43,20,3
27,18,1538,5,16,10,3
36,28,2608,2,22,12,3
14,6,655,0,10,5,3
28,28,2520,2,15,5,3
27,27,2375,3,13,6,3
29,9,928,3,12,6,3
37,32,2834,6,35,13,3
26,23,1870,4,32,21,3
33,26,2290,6,32,20,3
22,20,1733,0,12,6,3
28,17,1653,0,13,9,3
17,11,1034,1,12,10,3
24,14,1261,1,25,14,3
24,14,1260,1,9,6,3
15,7,712,0,11,7,3
13,12,1041,0,16,8,3
14,8,702,1,6,4,3
18,9,814,3,10,7,2
